x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time2
46000,14400,80,15,16,0,2.9166666666666665,9.61
7200,24000,50,23,16,1,1.8,4.96
30000,12000,50,28,30,0,4.166666666666667,9.68
7200,24000,20,26,22,1,1.0,41.31
46000,14400,80,36,24,1,4.6,2.73
23200,18000,50,13,34,0,3.5,21.32
30000,12000,20,16,18,1,2.8181818181818183,155.9
10000,10000,20,40,24,0,1.6666666666666667,28.48
7200,24000,50,19,18,0,1.3333333333333333,8.07
30000,12000,100,20,30,0,2.4,2.16
7200,24000,80,30,24,0,1.0,2.73
7200,24000,50,35,18,0,4.0,5.33
23200,18000,20,20,18,1,3.2,145.3
30000,12000,50,16,30,1,4.625,9.01
10000,10000,20,33,32,0,1.0,31.33
23200,18000,50,15,34,1,3.0,9.73
7200,24000,20,45,26,0,2.0769230769230766,40.94
7200,24000,50,31,34,1,1.1428571428571428,2.98
10000,10000,100,20,20,0,1.0,1.0
7200,24000,100,21,30,0,1.0,1.91
23200,18000,50,43,30,0,1.875,8.4
30000,12000,20,54,34,0,1.5882352941176472,74.02
7200,24000,50,45,34,1,1.6,2.41
30000,12000,50,13,18,1,3.5384615384615383,13.5
46000,14400,50,32,26,0,2.5454545454545454,15.61
46000,14400,80,30,16,0,1.4166666666666667,5.56
30000,12000,50,40,20,0,2.0,7.98
7200,24000,100,10,18,1,3.6,1.53
30000,12000,100,13,28,0,1.1111111111111112,2.97
10000,10000,50,10,16,1,1.6666666666666667,5.99
30000,12000,50,24,24,0,4.714285714285714,11.7
30000,12000,80,27,36,0,2.0,3.19
23200,18000,80,60,34,0,1.0,2.43
30000,12000,80,40,30,1,1.1666666666666667,1.75
7200,24000,20,60,24,0,3.0,31.84
7200,24000,20,55,16,0,4.5,42.94
7200,24000,50,14,20,1,3.5,6.02
30000,12000,50,15,30,1,1.8461538461538465,9.13
30000,12000,20,38,32,1,3.066666666666667,50.88
30000,12000,20,30,36,0,4.769230769230768,129.48
7200,24000,20,31,28,0,1.3157894736842106,60.17
10000,10000,20,49,24,1,2.0,14.79
