x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,n_hours,time_tot
46000,14400,50,51,26,1,1.6363636363636365,92,608.5500000000002
30000,12000,80,40,22,1,1.1428571428571428,64,123.24
30000,12000,20,53,30,0,1.4,137,9511.79
30000,12000,20,33,32,0,2.5,52,5776.58
23200,18000,20,19,20,1,1.2340425531914894,109,15684.04
30000,12000,50,58,32,1,1.4285714285714286,119,482.29
7200,24000,80,20,16,1,1.5714285714285714,83,152.27
7200,24000,20,51,18,1,3.6363636363636362,130,3465.87
10000,10000,80,36,14,1,1.0,54,63.13999999999999
46000,14400,100,21,36,1,1.25,13,26.66
7200,24000,50,17,20,0,1.0,66,547.49
10000,10000,20,40,20,1,2.083333333333333,53,989.36
10000,10000,20,40,24,1,1.6666666666666667,70,1217.57
10000,10000,20,58,24,0,1.7,19,416.54
7200,24000,20,25,32,1,2.4,23,816.05
46000,14400,50,51,26,1,1.6363636363636365,53,353.88
30000,12000,20,48,30,0,1.0,129,9704.83
46000,14400,20,30,32,1,3.4545454545454546,36,4294.7
23200,18000,50,56,24,1,1.75,101,475.96
23200,18000,80,23,28,1,1.5,121,312.15
10000,10000,20,55,18,1,2.0,60,934.29
7200,24000,20,48,20,1,1.1,131,3478.370000000001
23200,18000,20,40,36,1,2.1111111111111107,121,6589.09
7200,24000,20,25,28,1,2.117647058823529,139,5213.19
10000,10000,20,25,14,0,3.571428571428572,8,487.53
23200,18000,100,50,16,1,1.0,4,9.15
23200,18000,20,54,28,1,1.5238095238095235,53,2570.72
7200,24000,50,10,18,0,3.6,106,1423.64
7200,24000,50,14,20,0,3.5,114,1132.51
7200,24000,50,38,34,0,1.0,29,129.29999999999998
30000,12000,100,18,24,1,3.2,81,129.37
23200,18000,50,15,24,0,3.1666666666666665,70,1293.75
10000,10000,50,60,14,1,1.6,93,208.55
7200,24000,50,16,18,1,1.3846153846153846,110,656.3000000000002
46000,14400,80,11,36,0,2.6,120,1097.63
46000,14400,50,40,30,0,1.5,51,633.02
23200,18000,50,51,36,1,3.4,72,342.95
7200,24000,20,34,24,0,1.7647058823529411,113,5783.3899999999985
46000,14400,80,18,28,0,1.25,116,751.82
46000,14400,20,60,16,1,1.9,4,384.66
23200,18000,50,51,36,1,3.4,133,627.21
10000,10000,20,38,36,0,2.5,72,1983.04
46000,14400,50,57,28,0,3.0,2,28.54
23200,18000,20,35,20,1,1.4375,100,7799.660000000002
10000,10000,20,26,22,1,1.1578947368421053,33,853.3000000000002
46000,14400,20,52,30,0,3.2222222222222223,90,12368.63
7200,24000,20,45,20,0,1.875,106,4496.42
7200,24000,20,50,14,0,1.0416666666666667,130,6964.53
10000,10000,20,14,20,1,1.4,78,3598.76
7200,24000,20,46,16,0,3.4615384615384617,112,5576.78
10000,10000,20,13,24,0,2.1578947368421053,110,8394.2
7200,24000,50,27,30,1,2.8,82,273.99
7200,24000,50,34,14,0,2.8571428571428568,23,141.32999999999996
23200,18000,50,36,24,0,3.571428571428572,97,914.93
46000,14400,100,38,30,0,1.0,41,108.77
30000,12000,80,28,18,0,2.142857142857143,92,306.83
7200,24000,20,60,14,1,1.7647058823529411,114,3296.23
30000,12000,100,11,16,0,1.8,16,68.63
7200,24000,20,13,14,1,1.108695652173913,1,121.04
23200,18000,50,11,16,1,1.9090909090909087,43,822.7199999999998
23200,18000,50,52,24,0,1.5555555555555556,90,659.97
30000,12000,80,20,34,0,1.5714285714285714,112,406.29
30000,12000,20,34,34,1,2.588235294117647,86,4672.03
23200,18000,100,48,22,0,1.4,100,151.16
23200,18000,50,48,34,0,3.8,52,405.93
7200,24000,50,41,32,0,1.8,97,373.66
7200,24000,20,57,24,1,1.125,76,1675.44
23200,18000,100,39,18,1,1.3333333333333333,83,115.39
30000,12000,80,43,22,1,1.3333333333333333,135,242.31
23200,18000,100,44,24,1,1.4,84,107.61
10000,10000,20,22,16,1,3.0,80,2968.26
23200,18000,20,13,34,1,3.423076923076924,69,11064.2
10000,10000,50,39,14,1,1.2857142857142858,79,223.41
23200,18000,100,22,22,0,1.25,63,155.18
7200,24000,50,15,22,0,3.0,51,458.20999999999987
7200,24000,20,10,32,0,1.5,113,17789.98
10000,10000,20,39,26,1,1.5833333333333333,96,1762.45
46000,14400,100,21,20,1,3.0,89,214.65
10000,10000,20,30,28,0,1.0625,134,4692.779999999999
23200,18000,80,17,22,0,4.333333333333333,123,641.9699999999998
30000,12000,100,12,34,0,3.4,95,296.79
7200,24000,20,50,34,0,1.2857142857142858,103,3762.59
10000,10000,20,28,32,0,3.875,130,4637.02
30000,12000,80,20,16,1,3.2857142857142856,46,150.47
30000,12000,20,11,28,0,3.962962962962963,65,20329.85
23200,18000,50,28,22,1,4.125,36,273.12000000000006
30000,12000,50,44,30,1,1.0,123,596.67
7200,24000,50,35,34,0,1.3333333333333333,68,316.89
7200,24000,50,30,24,1,2.6666666666666665,131,426.25000000000006
46000,14400,20,49,24,1,2.16,108,8891.779999999999
30000,12000,50,42,28,0,1.75,129,977.21
23200,18000,20,10,34,0,1.5111111111111108,69,25894.93
46000,14400,20,27,32,0,2.1,102,25876.75
30000,12000,50,24,34,1,1.7,47,287.19000000000005
46000,14400,20,48,22,1,1.46875,30,2693.4
10000,10000,80,22,22,1,1.0,11,16.009999999999998
46000,14400,80,45,16,0,3.8333333333333335,119,514.34
7200,24000,20,50,36,0,1.6666666666666667,23,803.14
23200,18000,50,50,16,1,1.6363636363636365,100,666.76
46000,14400,80,45,14,1,4.5,100,323.4600000000001
30000,12000,20,12,36,1,4.227272727272728,1,168.51
46000,14400,100,52,36,1,1.2,41,93.86
23200,18000,50,60,36,1,1.8333333333333333,8,39.28
30000,12000,20,40,30,1,3.333333333333333,82,4047.74
10000,10000,80,13,18,0,1.5,22,47.34
10000,10000,50,18,26,0,3.2,134,647.6800000000002
46000,14400,100,46,28,0,2.0,55,105.88
23200,18000,20,21,24,1,1.4864864864864864,79,9203.67
23200,18000,50,54,18,1,1.7,94,474.09
10000,10000,20,19,26,0,2.923076923076924,106,5594.31
7200,24000,100,19,20,1,1.1666666666666667,8,10.580000000000002
46000,14400,80,20,26,0,4.666666666666667,38,239.71
46000,14400,50,10,28,0,4.642857142857143,95,4071.45
46000,14400,80,34,24,1,1.1,130,372.96
46000,14400,50,27,14,1,1.7,44,686.1999999999998
30000,12000,20,20,30,1,3.75,72,6873.39
7200,24000,80,34,24,1,1.0,6,21.57
10000,10000,50,18,32,1,2.4,27,81.05
7200,24000,50,44,18,0,2.1666666666666665,139,571.76
10000,10000,20,46,28,0,2.625,10,257.14
23200,18000,20,48,28,0,3.928571428571429,36,3239.0600000000004
46000,14400,20,30,24,0,1.75,17,3951.74
23200,18000,50,34,24,0,3.8571428571428568,98,972.17
7200,24000,50,24,34,0,1.0,139,831.6800000000002
7200,24000,100,21,30,0,1.0,67,129.97
30000,12000,50,11,30,0,1.6875,74,1508.02
23200,18000,20,57,18,1,1.826086956521739,50,2681.23
46000,14400,100,21,18,0,4.166666666666667,128,502.24
30000,12000,20,52,28,0,4.818181818181818,55,4161.56
7200,24000,20,60,24,1,3.0,3,68.76
46000,14400,100,48,14,0,3.8,108,284.51
46000,14400,20,27,28,0,1.8529411764705883,85,21761.78
46000,14400,80,19,34,1,1.5,20,76.93
30000,12000,20,16,32,0,1.2432432432432432,119,27736.84
46000,14400,50,33,20,1,1.9285714285714288,56,572.0400000000002
46000,14400,80,18,16,0,1.5333333333333334,76,639.3199999999998
7200,24000,50,12,22,0,2.4,10,109.77
7200,24000,20,20,22,1,1.3333333333333333,1,58.74
7200,24000,50,30,24,1,2.6666666666666665,65,212.41000000000003
23200,18000,80,20,28,1,4.0,3,11.31
30000,12000,100,34,20,1,1.0,31,45.36
46000,14400,50,27,24,1,2.833333333333333,131,1355.49
10000,10000,80,25,20,0,1.2,23,33.08
10000,10000,20,51,32,0,2.8571428571428568,14,334.07
10000,10000,50,29,28,0,1.1666666666666667,15,55.19000000000001
10000,10000,20,39,22,1,1.2666666666666666,22,414.36
30000,12000,80,25,16,0,3.8333333333333335,126,499.79
46000,14400,100,50,28,1,1.6,84,119.38
10000,10000,20,60,32,1,3.333333333333333,122,1577.66
30000,12000,50,27,22,1,3.375,48,319.98
10000,10000,20,46,20,1,1.75,82,1383.62
7200,24000,20,50,30,0,2.0,88,3117.29
23200,18000,20,45,20,0,1.84,4,445.67
46000,14400,20,48,20,0,1.9,4,661.9
23200,18000,20,31,18,1,2.2068965517241383,105,9778.32
30000,12000,50,33,26,0,4.5,19,178.94
30000,12000,100,18,32,1,1.1428571428571428,39,66.52999999999999
23200,18000,80,54,14,0,1.25,11,37.04
23200,18000,50,60,20,0,3.8333333333333335,135,922.11
30000,12000,80,30,34,1,1.0,17,38.61
10000,10000,20,37,20,0,1.9230769230769231,113,3607.53
46000,14400,20,39,24,0,1.1,61,11213.61
23200,18000,20,18,28,0,4.571428571428571,114,26254.47
30000,12000,20,12,36,0,1.8787878787878791,4,1095.04
30000,12000,80,18,30,0,1.8571428571428568,45,183.73
46000,14400,80,48,32,1,2.2,105,269.18999999999994
30000,12000,50,13,18,1,3.5384615384615383,65,880.53
46000,14400,80,60,24,1,2.8,123,241.29
10000,10000,20,21,16,0,1.3478260869565215,3,186.03
10000,10000,50,56,18,1,1.4,84,183.0
10000,10000,20,47,36,1,1.3,131,1792.5800000000004
30000,12000,20,45,32,0,1.55,43,3413.12
23200,18000,20,42,26,1,2.095238095238096,94,5530.54
30000,12000,100,11,24,1,1.2,14,35.36
23200,18000,20,39,14,0,1.6176470588235294,120,20210.5
30000,12000,50,41,34,1,2.0,68,305.05
30000,12000,80,18,22,1,2.125,35,101.54
23200,18000,20,28,22,1,1.025,24,2255.78
46000,14400,20,36,22,0,2.3,50,10101.919999999998
10000,10000,20,35,24,1,1.9166666666666667,61,1155.03
10000,10000,20,50,20,0,2.5,10,257.58
46000,14400,50,42,14,0,4.3,94,1572.2999999999995
7200,24000,80,30,14,1,1.2857142857142858,126,206.52
46000,14400,50,32,28,0,2.8,78,1180.03
10000,10000,20,60,30,1,5.0,35,448.95
10000,10000,20,20,30,0,1.0,11,534.0
7200,24000,80,26,30,1,1.2,70,161.32999999999996
23200,18000,50,28,20,0,2.9,70,847.4200000000002
23200,18000,50,40,24,1,2.1111111111111107,14,81.97
10000,10000,20,27,14,0,5.0,119,6547.65
7200,24000,80,36,14,0,2.0,8,18.05
30000,12000,50,12,22,0,1.1904761904761905,100,2059.52
30000,12000,20,20,24,0,1.3513513513513509,139,25871.69
10000,10000,20,43,24,1,1.8181818181818181,112,1807.01
7200,24000,80,10,34,0,1.125,110,379.16
10000,10000,20,11,36,0,5.0,9,760.16
7200,24000,80,55,14,1,1.2,92,213.2
46000,14400,80,60,32,0,1.8,66,223.13
30000,12000,50,54,34,0,1.8333333333333333,105,634.34
46000,14400,20,18,24,1,2.375,44,9632.59
10000,10000,50,10,24,0,1.6,16,121.08
23200,18000,100,42,34,0,1.0,30,52.18
10000,10000,50,55,18,1,1.0,13,29.88
30000,12000,20,34,14,1,1.5142857142857142,19,1798.5800000000004
46000,14400,50,31,26,0,2.636363636363636,31,477.17
46000,14400,80,10,26,1,4.888888888888889,50,334.79
30000,12000,80,28,20,1,3.6,72,171.66
30000,12000,50,35,28,1,1.0,123,675.0199999999999
10000,10000,50,33,32,1,1.0,122,314.74999999999994
46000,14400,80,34,34,1,3.2,27,82.4
7200,24000,20,31,20,1,1.8947368421052635,100,3719.46
7200,24000,50,57,28,1,1.4,78,177.25000000000003
30000,12000,80,44,18,0,1.8333333333333333,16,43.52
30000,12000,50,49,36,1,2.0,25,107.72
30000,12000,100,28,36,0,1.4,22,43.79
7200,24000,20,15,14,0,1.7647058823529411,10,1708.18
10000,10000,20,51,28,0,1.2727272727272727,132,3059.7699999999995
10000,10000,50,30,20,0,1.6666666666666667,81,302.07
7200,24000,80,13,24,1,3.0,53,99.92
10000,10000,20,21,34,1,1.6428571428571428,52,1287.93
10000,10000,50,23,30,1,1.3333333333333333,107,293.67
30000,12000,50,60,34,0,1.0,19,132.92000000000002
23200,18000,100,56,16,1,1.6,68,90.05000000000003
10000,10000,50,28,22,0,1.2857142857142858,125,448.89
30000,12000,80,11,22,1,1.3076923076923077,81,318.62
46000,14400,100,54,30,0,1.4,109,205.35
23200,18000,100,14,16,1,1.4545454545454546,88,230.19
10000,10000,20,13,20,0,2.631578947368421,105,8652.939999999999
7200,24000,20,57,32,0,1.0,63,2067.86
46000,14400,50,33,24,1,4.75,26,246.12
46000,14400,20,26,30,1,3.6666666666666665,124,16786.48
10000,10000,50,15,32,0,2.0,69,378.0
7200,24000,20,22,36,0,3.75,106,7629.6399999999985
30000,12000,20,60,34,1,1.933333333333333,18,650.17
7200,24000,50,35,26,1,1.4285714285714286,84,262.48
46000,14400,100,17,24,0,2.375,130,530.6800000000002
30000,12000,80,60,28,1,1.2,138,201.56
10000,10000,20,19,16,1,1.1923076923076923,58,2433.350000000001
10000,10000,20,31,34,1,3.625,27,503.87
23200,18000,80,35,28,0,1.0,21,71.13000000000002
10000,10000,20,50,16,1,2.083333333333333,28,519.02
7200,24000,50,38,30,0,1.5,68,325.88
7200,24000,20,18,18,0,2.727272727272727,35,3873.43
7200,24000,20,35,30,1,3.272727272727273,83,3040.34
23200,18000,50,48,14,0,1.5833333333333333,129,1330.32
46000,14400,50,31,30,0,3.333333333333333,79,1227.94
7200,24000,50,29,16,1,2.25,67,296.11999999999995
46000,14400,50,27,14,1,1.7,111,1714.65
10000,10000,20,18,30,0,1.6875,95,5000.12
30000,12000,100,33,28,0,1.2,58,93.19
30000,12000,50,21,16,0,1.8666666666666667,82,1257.25
7200,24000,20,26,24,0,3.0,115,7710.009999999998
23200,18000,20,58,16,1,4.8,118,7274.79
30000,12000,50,44,18,1,3.571428571428572,100,533.87
7200,24000,20,15,14,0,1.7647058823529411,133,22636.63
23200,18000,100,39,16,0,1.5,6,14.28
7200,24000,20,60,20,0,1.6,106,3652.38
7200,24000,20,59,22,0,3.2,59,2098.55
23200,18000,80,32,24,1,1.7142857142857142,7,17.34
23200,18000,50,10,36,1,4.6,54,736.36
23200,18000,20,44,26,1,2.2,105,5988.280000000002
23200,18000,100,15,14,1,1.25,110,303.43
23200,18000,80,36,24,1,1.4285714285714286,50,99.45
7200,24000,50,45,32,1,1.8,98,237.82
7200,24000,100,10,14,0,1.75,29,75.88000000000002
10000,10000,50,34,34,1,1.0,138,283.4500000000001
46000,14400,20,45,16,1,1.1333333333333333,119,14552.73
46000,14400,20,24,20,1,1.6888888888888889,116,21858.23
23200,18000,80,14,36,1,1.2,19,64.86
46000,14400,80,27,34,1,1.1,24,75.80999999999997
7200,24000,20,15,22,0,4.0,34,4054.64
46000,14400,50,48,28,1,2.333333333333333,37,258.82000000000005
46000,14400,20,42,30,0,1.1176470588235294,89,14488.09
10000,10000,20,21,36,0,1.0588235294117647,120,5438.3899999999985
10000,10000,20,58,18,1,3.375,114,1677.53
23200,18000,100,12,30,1,1.3333333333333333,52,115.81
30000,12000,50,21,18,0,3.0,112,1596.3300000000004
23200,18000,20,15,28,1,1.380952380952381,87,12977.45
46000,14400,80,52,34,1,2.2,110,221.8
10000,10000,20,10,22,1,2.272727272727273,51,2979.33
10000,10000,50,17,24,1,3.2,103,336.68
23200,18000,50,40,14,1,1.9166666666666667,51,381.99
30000,12000,80,50,14,0,3.0,65,180.4
46000,14400,50,51,30,0,2.5,80,864.7199999999998
46000,14400,20,60,28,0,3.3529411764705883,24,2701.54
30000,12000,100,21,32,1,2.0,20,30.93
46000,14400,100,19,24,0,2.7142857142857144,49,187.77
10000,10000,50,16,30,0,3.2,122,624.7700000000002
30000,12000,80,60,14,0,1.2857142857142858,105,263.23
46000,14400,80,46,28,0,1.4285714285714286,129,508.44
46000,14400,20,55,22,0,1.28125,98,13401.51
23200,18000,50,23,34,0,2.0,54,717.01
10000,10000,20,49,18,0,2.090909090909091,89,2439.35
7200,24000,50,23,26,0,1.1,31,198.88
23200,18000,20,23,28,1,1.0512820512820509,97,9677.35
10000,10000,20,40,22,0,1.8333333333333333,57,1682.29
23200,18000,20,21,30,1,4.1,110,11556.97
46000,14400,100,36,18,1,3.8,50,108.14
7200,24000,50,30,36,0,1.5,114,601.56
46000,14400,20,42,22,1,1.6875,104,10311.26
30000,12000,50,55,30,1,1.0,70,322.4
7200,24000,50,44,14,1,1.625,75,284.05
23200,18000,80,37,26,0,1.8333333333333333,124,363.92
23200,18000,100,21,20,1,3.8,137,241.25
10000,10000,50,10,18,0,2.2,11,93.47
7200,24000,80,16,30,1,2.2,47,73.28999999999998
23200,18000,20,55,36,0,1.25,135,11903.41
23200,18000,80,12,34,1,4.0,58,209.25
46000,14400,50,32,26,1,3.888888888888889,71,751.9100000000002
30000,12000,80,14,26,1,1.4,134,427.68
7200,24000,50,48,28,0,1.8,58,209.3
7200,24000,20,15,30,1,1.3846153846153846,97,5599.6500000000015
7200,24000,50,10,18,0,3.6,20,271.24
23200,18000,50,54,32,1,3.4,51,267.92
10000,10000,20,48,26,1,2.2222222222222223,52,774.29
10000,10000,20,52,34,0,2.7142857142857144,15,387.74000000000007
46000,14400,80,39,24,0,4.4,90,358.51
7200,24000,20,49,24,0,2.5,60,2318.96
46000,14400,50,46,20,0,1.4285714285714286,81,970.16
30000,12000,80,51,28,0,1.4,50,106.64
7200,24000,50,37,34,1,1.3333333333333333,132,355.9500000000001
23200,18000,20,30,24,0,4.2777777777777795,39,5762.899999999999
23200,18000,50,56,30,1,1.8571428571428568,9,49.95
10000,10000,20,24,30,1,1.25,135,3240.33
23200,18000,20,20,36,1,2.32,111,11179.07
10000,10000,50,30,20,0,1.6666666666666667,91,339.17
23200,18000,20,24,30,1,1.6,83,7651.459999999999
30000,12000,50,14,34,0,4.375,44,731.4200000000002
23200,18000,20,35,28,0,3.2222222222222223,42,5279.4299999999985
10000,10000,50,54,14,1,1.0,20,50.09
30000,12000,50,33,26,0,2.0,95,847.74
46000,14400,20,43,32,1,4.4375,11,948.79
10000,10000,20,60,28,1,1.0909090909090908,59,784.04
23200,18000,50,17,36,1,2.7,91,804.16
30000,12000,80,19,26,0,2.0,139,554.23
46000,14400,100,18,34,1,1.625,119,281.51
46000,14400,20,43,36,0,2.65,7,1083.6799999999996
23200,18000,50,10,16,0,2.090909090909091,95,3299.38
23200,18000,20,21,24,1,1.4864864864864864,117,13621.17
10000,10000,50,15,24,0,1.1,61,340.63
7200,24000,20,52,16,0,1.5,98,4506.79
7200,24000,50,39,22,0,1.5714285714285714,18,80.83
10000,10000,20,36,36,0,4.5,44,1297.84
