grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,n_hours,time_tot
50,15,18,0,1.181818181818182,49,290.35
50,15,34,1,1.8333333333333333,135,423.97
20,51,36,1,2.5714285714285716,52,719.95
20,43,26,0,1.7272727272727273,139,3611.91
20,15,18,0,3.4375,72,5382.38
50,35,24,0,1.6,53,167.48000000000005
20,55,14,1,1.5714285714285714,105,1958.26
50,14,30,0,2.333333333333333,112,617.41
80,28,18,1,1.0,1,2.89
50,32,18,0,1.0,99,373.87
50,29,24,1,1.3333333333333333,139,345.07
20,14,34,1,1.7058823529411764,126,4256.54
20,21,20,1,1.0869565217391304,89,2759.66
20,42,24,0,1.8181818181818181,74,2897.73
20,14,26,1,2.235294117647059,99,5238.340000000001
20,26,22,1,5.0,62,1560.1
50,26,18,1,3.2,73,210.91000000000003
20,21,16,0,1.3478260869565215,102,6253.74
20,25,18,0,1.35,43,2038.81
20,45,26,1,1.7272727272727273,33,519.1
80,11,14,1,1.375,25,48.18
50,56,14,1,1.0,93,213.44
20,57,30,1,1.181818181818182,44,581.8
20,25,26,0,3.8,69,2738.03
20,46,32,1,3.0,87,1209.4
20,11,34,1,3.2142857142857144,26,1098.91
20,38,22,1,1.6923076923076923,59,1063.05
20,44,30,0,1.4545454545454546,59,1511.15
20,40,32,1,3.571428571428572,27,425.68
50,40,34,0,1.0,22,61.73
20,48,20,1,1.6666666666666667,99,1594.4
20,19,22,1,1.181818181818182,137,4431.73
50,40,24,1,1.0,104,237.94
50,16,28,0,2.333333333333333,54,280.70000000000005
20,13,16,1,3.263157894736842,132,7262.96
100,18,20,1,1.0,46,42.15
50,28,30,0,1.6,4,17.39
20,28,30,1,1.4285714285714286,124,2539.95
80,12,30,0,1.6,4,9.5
50,15,18,1,1.181818181818182,26,106.26
20,55,36,1,1.4444444444444444,1,22.08
50,19,28,0,2.8,86,396.19
80,11,14,1,3.4,59,111.33
20,58,20,0,3.125,108,2392.140000000001
20,13,34,1,2.7142857142857144,118,4236.54
50,14,18,0,1.2727272727272727,1,8.14
20,27,34,0,3.0,41,1435.1
50,24,16,1,2.6666666666666665,103,344.42
80,22,24,0,1.0,90,130.78
20,37,18,0,2.0769230769230766,93,3052.65
20,21,20,1,2.9285714285714284,71,2234.9
50,39,18,0,1.0,57,184.3
20,45,24,0,3.375,124,3339.88
50,31,26,0,1.1666666666666667,116,399.37
20,56,28,1,1.5,53,686.67
80,12,30,0,1.0,97,187.32
50,37,18,0,2.2,107,346.99
80,15,24,0,1.0,57,108.15
20,30,14,1,1.9411764705882355,133,4142.8
80,11,24,1,2.0,96,136.32999999999998
20,14,18,1,1.7826086956521738,28,1384.17
80,17,22,0,1.4,1,2.82
50,12,22,0,2.25,11,75.42999999999998
20,22,30,0,1.6666666666666667,120,5125.5700000000015
20,11,24,1,2.25,103,5059.9000000000015
50,29,34,1,1.2,51,115.96
50,34,14,0,1.5714285714285714,74,287.07
50,18,28,0,2.8,19,90.55
50,11,24,1,4.166666666666667,75,317.18
20,33,16,0,2.066666666666667,96,3910.55
50,31,30,1,1.0,117,282.2600000000001
20,18,20,1,4.583333333333333,114,4115.79
50,32,18,0,1.0,12,47.62
20,52,36,1,1.2,76,985.42
20,44,30,1,3.571428571428572,135,1970.91
50,40,20,0,2.0,8,27.41
50,27,24,0,1.1428571428571428,56,206.99
50,13,26,0,2.142857142857143,120,714.12
20,13,30,1,2.375,27,1030.65
50,12,22,1,4.166666666666667,23,98.38
20,21,20,0,4.545454545454546,96,4857.13
20,53,36,0,1.4444444444444444,71,1548.64
50,50,28,0,1.0,65,162.52
50,16,28,0,2.333333333333333,120,620.6
20,51,28,1,1.2727272727272727,92,1255.04
50,20,24,1,3.2,23,66.81
20,28,36,1,2.3,83,1637.48
50,13,36,1,1.5714285714285714,17,60.73
20,10,28,0,2.9411764705882355,138,12492.05
20,33,28,1,2.090909090909091,7,136.64
20,43,22,1,2.0,129,2215.02
80,12,28,1,1.6,56,76.03
20,21,28,0,1.3529411764705883,122,5523.89
50,34,36,1,1.0,42,95.57
50,24,18,0,1.7142857142857142,58,253.67
20,10,36,1,4.583333333333333,14,679.29
20,35,34,1,1.0,109,1923.15
20,30,24,1,2.25,74,1540.67
50,10,28,1,1.4,90,369.4
20,16,16,1,4.133333333333334,34,1590.97
20,42,16,1,1.1764705882352942,61,1263.68
20,31,14,1,2.1875,4,120.15
50,11,36,1,1.2222222222222223,128,471.03
20,20,36,0,3.3,119,6149.54
50,57,24,1,1.0,124,231.42
50,38,36,1,1.0,109,226.13
20,57,24,0,1.0,67,1456.97
50,60,14,1,1.8,20,42.83
20,60,16,0,4.714285714285714,97,2422.44
20,17,32,0,2.2142857142857144,102,5431.089999999998
20,55,28,1,4.166666666666667,55,728.3800000000001
20,33,20,1,4.5555555555555545,28,605.15
20,35,34,0,1.0,119,3688.99
20,60,22,0,1.4545454545454546,51,1062.75
20,20,26,1,1.3157894736842106,44,1253.47
20,12,28,0,2.411764705882353,102,7779.93
20,60,32,1,1.2,76,951.4
50,21,20,1,3.2,136,420.28
50,20,16,0,5.0,65,346.84
20,54,20,0,3.375,134,3220.7499999999995
20,26,22,1,5.0,128,3216.04
80,18,14,1,2.0,129,175.56
20,53,26,0,2.1111111111111107,124,2865.91
80,12,16,1,1.4285714285714286,70,121.88
20,15,14,1,4.4375,73,4022.22
20,34,30,0,1.1428571428571428,42,1282.88
20,21,34,1,2.636363636363636,68,1651.07
20,27,14,0,1.9444444444444444,87,4669.81
20,51,24,1,1.0769230769230769,138,1964.61
20,49,24,1,1.5454545454545454,31,445.07
80,11,24,0,2.2,91,190.26
20,55,22,1,2.4444444444444446,75,1021.88
20,10,34,1,1.16,80,3711.33
20,41,14,1,2.9166666666666665,8,191.53
50,12,30,1,1.1,24,91.39
100,17,20,0,1.0,105,114.86
20,19,18,1,4.230769230769232,84,3073.82
50,54,26,1,1.0,62,114.94
20,40,22,0,3.4444444444444446,35,998.88
100,18,20,0,1.0,134,143.64
50,48,18,1,1.1666666666666667,59,135.6
20,40,18,0,1.9230769230769231,5,157.3
50,13,36,0,3.0,116,696.91
80,18,28,1,1.0,96,110.53
80,12,20,1,2.4,114,169.69
20,11,24,1,4.133333333333334,62,3040.16
20,18,32,1,1.0,127,3618.71
20,31,14,1,2.1875,78,2260.9700000000007
20,21,16,0,1.3478260869565215,57,3495.69
20,23,26,1,3.8,87,2210.03
20,30,20,1,2.75,16,377.49
50,26,30,1,2.0,108,327.46
50,19,24,0,3.2,139,669.22
80,18,32,1,1.0,25,28.12
20,30,20,0,1.0,19,722.44
20,45,34,1,1.7777777777777777,117,1569.11
80,22,22,1,1.0,91,113.61
50,22,22,0,1.0,29,121.94
20,24,32,1,1.3333333333333333,10,229.42
50,16,16,1,1.0,48,216.77
50,16,30,1,1.25,19,61.12000000000001
20,54,32,1,2.5714285714285716,24,317.63
80,11,24,0,2.0,74,160.96
20,30,32,0,4.714285714285714,45,1538.0800000000004
20,14,30,0,4.545454545454546,33,2166.77
20,55,36,1,1.0,35,456.76
50,18,36,0,1.1428571428571428,53,261.76
20,30,26,0,3.6666666666666665,43,1504.71
20,60,28,1,2.0,33,401.51
20,21,20,0,2.1875,54,2853.52
50,39,20,0,2.0,22,64.41
20,25,30,1,1.25,91,2022.6900000000005
50,45,22,1,1.0,126,267.89
50,33,26,1,1.1666666666666667,84,187.47000000000003
50,19,24,1,1.25,13,43.17
50,57,26,0,1.0,12,30.9
50,39,24,1,1.6,109,232.76
20,25,24,0,4.1,101,4066.75
20,51,18,1,3.2222222222222223,44,735.14
20,23,28,0,3.5,47,1961.66
80,10,16,1,2.5,46,85.57000000000002
20,20,28,1,2.2142857142857144,61,1693.42
100,19,18,1,1.0,7,6.93
20,57,20,1,1.2307692307692308,117,1710.22
50,23,32,1,1.3333333333333333,32,89.79
20,59,30,1,2.0,33,418.38
20,56,18,0,3.375,132,3087.9
20,15,36,0,2.5384615384615383,1,67.06
50,15,28,0,2.333333333333333,69,367.92
20,55,30,1,1.5,32,402.6
50,14,18,0,3.1428571428571432,88,551.15
20,10,30,0,1.32,85,8407.43
20,17,36,0,1.9285714285714288,80,4358.02
50,22,16,0,3.0,1,6.98
20,35,36,0,1.5454545454545454,75,2205.91
