grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time1
50,17,18,1,1.0,5.01
20,13,14,1,3.736842105263158,69.4
50,42,18,1,1.0,3.91
20,57,36,1,1.625,21.16
100,10,22,0,1.8,2.76
20,22,18,0,2.7333333333333334,58.06
50,51,14,1,1.8,6.09
20,19,32,0,1.7333333333333334,59.58
20,42,26,1,1.7272727272727273,20.36
50,17,20,0,1.1,6.48
50,24,34,1,1.6,4.25
50,35,16,1,1.4285714285714286,5.26
20,56,36,0,2.142857142857143,27.1
20,39,36,0,4.5,37.67
20,20,18,0,1.65,59.89
80,24,24,0,1.0,3.19
50,25,30,1,1.3333333333333333,4.57
50,29,32,1,1.0,4.96
20,47,22,1,2.2,20.26
50,15,22,1,3.333333333333333,4.98
20,12,14,0,2.6956521739130435,124.69
20,50,30,1,2.5,21.88
50,37,36,0,1.0,5.3
50,16,30,0,2.1666666666666665,6.47
50,33,20,1,1.5,3.95
50,39,14,1,1.2857142857142858,4.23
20,28,28,0,3.1,59.27
50,15,34,1,1.8333333333333333,4.55
50,20,16,0,3.333333333333333,8.24
50,54,14,0,1.8,7.38
20,55,18,0,2.0,28.65
20,12,18,0,3.4444444444444446,97.21
50,20,24,1,3.2,4.33
50,26,34,1,1.4,4.34
20,49,30,1,3.2857142857142856,21.38
20,43,36,0,1.181818181818182,30.16
20,43,22,1,2.0,23.66
20,40,24,0,3.875,33.19
20,18,16,1,3.6666666666666665,46.05
20,10,36,0,4.583333333333333,97.67
50,12,20,0,1.6,8.2
50,46,14,1,1.1428571428571428,4.2
80,21,24,1,1.0,2.89
80,10,30,0,1.3333333333333333,7.65
20,47,26,0,1.9,29.11
20,60,34,1,2.2857142857142856,19.17
20,28,22,1,1.2941176470588236,29.02
20,12,14,0,3.55,123.47
50,29,24,1,1.3333333333333333,5.59
50,15,24,1,4.0,4.93
20,58,14,1,1.0,25.09
20,54,26,0,2.1111111111111107,27.54
20,28,22,0,1.2941176470588236,45.58
20,18,32,1,1.0,32.75
20,42,24,0,4.428571428571429,31.41
20,18,26,0,3.4166666666666665,59.48
20,23,20,0,1.1904761904761905,50.46
50,26,32,0,1.1666666666666667,6.75
20,30,32,0,1.0666666666666669,37.6
50,25,34,1,1.6,4.22
20,42,16,0,1.1764705882352942,38.78
20,60,28,0,2.0,26.83
20,33,16,0,1.1,44.1
20,21,18,0,1.173913043478261,58.96
50,12,14,1,4.714285714285714,6.8
20,50,22,0,1.818181818181818,28.4
20,20,30,0,2.75,52.94
20,19,22,0,3.4615384615384617,58.03
20,35,16,1,1.4705882352941178,29.22
20,49,28,1,1.7,18.61
50,37,22,0,1.8,4.49
80,12,22,0,2.0,3.69
20,59,22,0,2.75,26.93
50,25,36,0,1.6,6.24
20,15,16,0,3.875,84.5
20,33,28,1,1.1333333333333333,23.96
20,52,24,1,1.9,20.5
20,14,26,0,1.8421052631578947,73.1
50,42,24,1,1.4,3.87
20,30,24,1,3.3,26.97
50,40,36,1,1.0,4.66
20,51,28,1,3.2857142857142856,19.73
20,50,16,0,3.1,32.95
50,12,26,1,2.2857142857142856,5.18
20,52,16,0,1.2666666666666666,32.59
20,53,24,0,2.2222222222222223,42.77
20,24,26,1,2.583333333333333,28.88
50,34,18,1,2.2,3.93
80,24,20,0,1.2,3.42
20,14,34,1,1.7058823529411764,37.79
20,39,34,0,2.1111111111111107,33.48
20,39,30,0,1.3333333333333333,32.6
20,14,36,0,1.15,80.0
20,11,16,0,1.4516129032258065,119.59
50,23,26,1,1.1428571428571428,4.31
20,21,22,0,1.0454545454545454,54.35
20,57,28,0,2.125,27.43
50,11,26,0,1.6666666666666667,8.15
20,60,28,1,1.4,18.18
50,37,32,1,1.2,5.39
20,12,24,0,1.148148148148148,86.89
20,21,28,0,1.3529411764705883,49.85
