x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration,jobdir,time0,time1,time2
10000,10000,20,500,500,11,16,176,62,22,8,22,2.8181818181818183,1,1,153.19024769809366,10000_10000_020_11_16_1_1_008_022,1.64,66.93,63.94
10000,10000,20,500,500,11,18,198,45,27,11,18,1.6666666666666667,0,1,194.5272986642459,10000_10000_020_11_18_0_1_011_018,1.74,103.97,103.42
10000,10000,20,500,500,11,18,198,45,27,11,18,1.6666666666666667,1,1,136.16910906497213,10000_10000_020_11_18_1_1_011_018,5.31,68.65,59.25
10000,10000,20,500,500,11,18,198,55,22,9,22,2.5,0,1,194.5272986642459,10000_10000_020_11_18_0_1_009_022,4.76,107.03,100.2
10000,10000,20,500,500,11,18,198,55,22,9,22,2.5,1,1,136.16910906497213,10000_10000_020_11_18_1_1_009_022,4.02,65.19,58.61
10000,10000,20,500,500,11,20,220,45,25,11,20,1.8,0,1,175.0745687978213,10000_10000_020_11_20_0_1_011_020,1.72,97.87,94.93
10000,10000,20,500,500,11,20,220,45,25,11,20,1.8,1,1,122.55219815847492,10000_10000_020_11_20_1_1_011_020,3.6,60.43,54.95
10000,10000,20,500,500,11,20,220,50,22,10,22,2.272727272727273,0,1,175.0745687978213,10000_10000_020_11_20_0_1_010_022,3.04,99.4,94.63
10000,10000,20,500,500,11,20,220,50,22,10,22,2.272727272727273,1,1,122.55219815847492,10000_10000_020_11_20_1_1_010_022,2.48,61.25,56.63
10000,10000,20,500,500,11,22,242,45,22,11,22,2.0454545454545454,0,1,159.1586989071103,10000_10000_020_11_22_0_1_011_022,3.2,95.82,90.45
10000,10000,20,500,500,11,22,242,45,22,11,22,2.0454545454545454,1,1,111.41108923497721,10000_10000_020_11_22_1_1_011_022,1.71,55.36,53.73
10000,10000,20,500,500,11,24,264,41,22,12,22,1.8636363636363635,0,1,145.89547399818449,10000_10000_020_11_24_0_1_012_022,3.14,93.67,90.69
10000,10000,20,500,500,11,24,264,41,22,12,22,1.8636363636363635,1,1,102.12683179872913,10000_10000_020_11_24_1_1_012_022,1.75,52.04,49.24
10000,10000,20,500,500,11,24,264,45,20,11,24,2.25,0,1,145.89547399818449,10000_10000_020_11_24_0_1_011_024,1.85,90.13,86.63
10000,10000,20,500,500,11,24,264,45,20,11,24,2.25,1,1,102.12683179872913,10000_10000_020_11_24_1_1_011_024,4.47,54.76,49.07
10000,10000,20,500,500,11,24,264,62,15,8,33,4.133333333333334,0,1,145.89547399818449,10000_10000_020_11_24_0_1_008_033,2.56,91.76,87.29
10000,10000,20,500,500,11,24,264,62,15,8,33,4.133333333333334,1,1,102.12683179872913,10000_10000_020_11_24_1_1_008_033,2.07,52.38,48.98
10000,10000,20,500,500,11,26,286,38,22,13,22,1.7272727272727273,0,1,134.6727452290933,10000_10000_020_11_26_0_1_013_022,2.02,89.55,85.21
10000,10000,20,500,500,11,26,286,38,22,13,22,1.7272727272727273,1,1,94.27092166036532,10000_10000_020_11_26_1_1_013_022,4.15,53.89,47.27
10000,10000,20,500,500,11,26,286,45,19,11,26,2.3684210526315788,0,1,134.6727452290933,10000_10000_020_11_26_0_1_011_026,15.13,110.59,87.62
10000,10000,20,500,500,11,26,286,45,19,11,26,2.3684210526315788,1,1,94.27092166036532,10000_10000_020_11_26_1_1_011_026,1.9,51.68,47.7
10000,10000,20,500,500,11,28,308,35,22,14,22,1.5909090909090908,0,1,125.05326342701522,10000_10000_020_11_28_0_1_014_022,2.54,88.63,84.04
10000,10000,20,500,500,11,28,308,35,22,14,22,1.5909090909090908,1,1,87.53728439891066,10000_10000_020_11_28_1_1_014_022,3.73,51.22,45.45
10000,10000,20,500,500,11,28,308,45,17,11,28,2.647058823529412,0,1,125.05326342701522,10000_10000_020_11_28_0_1_011_028,2.23,87.61,85.18
10000,10000,20,500,500,11,28,308,45,17,11,28,2.647058823529412,1,1,87.53728439891066,10000_10000_020_11_28_1_1_011_028,1.86,49.05,45.32
10000,10000,20,500,500,11,30,330,33,22,15,22,1.5,0,1,116.71637919854756,10000_10000_020_11_30_0_1_015_022,2.1,86.87,82.93
10000,10000,20,500,500,11,30,330,33,22,15,22,1.5,1,1,81.70146543898328,10000_10000_020_11_30_1_1_015_022,1.87,48.04,44.12
10000,10000,20,500,500,11,30,330,45,16,11,30,2.8125,0,1,116.71637919854756,10000_10000_020_11_30_0_1_011_030,2.1,86.37,83.72
10000,10000,20,500,500,11,30,330,45,16,11,30,2.8125,1,1,81.70146543898328,10000_10000_020_11_30_1_1_011_030,2.07,48.05,44.21
10000,10000,20,500,500,11,30,330,50,15,10,33,3.333333333333333,0,1,116.71637919854756,10000_10000_020_11_30_0_1_010_033,16.93,105.64,82.5
10000,10000,20,500,500,11,30,330,50,15,10,33,3.333333333333333,1,1,81.70146543898328,10000_10000_020_11_30_1_1_010_033,2.18,48.62,45.69
10000,10000,20,500,500,11,32,352,31,22,16,22,1.4090909090909092,0,1,109.4216054986383,10000_10000_020_11_32_0_1_016_022,2.15,87.47,83.59
10000,10000,20,500,500,11,32,352,31,22,16,22,1.4090909090909092,1,1,76.59512384904683,10000_10000_020_11_32_1_1_016_022,3.83,49.53,43.13
10000,10000,20,500,500,11,32,352,45,15,11,32,3.0,0,1,109.4216054986383,10000_10000_020_11_32_0_1_011_032,5.47,88.62,80.17
10000,10000,20,500,500,11,32,352,45,15,11,32,3.0,1,1,76.59512384904683,10000_10000_020_11_32_1_1_011_032,4.89,50.41,43.43
10000,10000,20,500,500,11,34,374,29,22,17,22,1.318181818181818,0,1,102.98504046930664,10000_10000_020_11_34_0_1_017_022,2.12,86.11,81.56
10000,10000,20,500,500,11,34,374,29,22,17,22,1.318181818181818,1,1,72.08952832851465,10000_10000_020_11_34_1_1_017_022,2.03,46.46,42.11
10000,10000,20,500,500,11,34,374,45,14,11,34,3.2142857142857144,0,1,102.98504046930664,10000_10000_020_11_34_0_1_011_034,4.35,94.66,89.48
10000,10000,20,500,500,11,34,374,45,14,11,34,3.2142857142857144,1,1,72.08952832851465,10000_10000_020_11_34_1_1_011_034,2.06,45.91,42.12
10000,10000,20,500,500,11,36,396,27,22,18,22,1.2272727272727273,0,1,97.26364933212295,10000_10000_020_11_36_0_1_018_022,4.98,88.42,80.73
10000,10000,20,500,500,11,36,396,27,22,18,22,1.2272727272727273,1,1,68.08455453248607,10000_10000_020_11_36_1_1_018_022,1.98,44.73,40.96
10000,10000,20,500,500,11,36,396,41,15,12,33,2.7333333333333334,0,1,97.26364933212295,10000_10000_020_11_36_0_1_012_033,2.27,84.53,80.52
10000,10000,20,500,500,11,36,396,41,15,12,33,2.7333333333333334,1,1,68.08455453248607,10000_10000_020_11_36_1_1_012_033,2.19,47.1,42.99
10000,10000,20,500,500,11,36,396,45,13,11,36,3.4615384615384617,0,1,97.26364933212295,10000_10000_020_11_36_0_1_011_036,4.27,86.49,80.29
10000,10000,20,500,500,11,36,396,45,13,11,36,3.4615384615384617,1,1,68.08455453248607,10000_10000_020_11_36_1_1_011_036,2.08,45.4,42.78
10000,10000,20,500,500,11,36,396,55,11,9,44,5.0,0,1,97.26364933212295,10000_10000_020_11_36_0_1_009_044,5.33,89.76,83.8
10000,10000,20,500,500,11,36,396,55,11,9,44,5.0,1,1,68.08455453248607,10000_10000_020_11_36_1_1_009_044,2.96,48.26,43.21
10000,10000,20,500,500,12,14,168,41,35,12,14,1.1714285714285717,0,1,229.26431628286133,10000_10000_020_12_14_0_1_012_014,1.67,127.22,118.05
10000,10000,20,500,500,12,14,168,41,35,12,14,1.1714285714285717,1,1,160.48502139800289,10000_10000_020_12_14_1_1_012_014,2.77,74.09,72.42
10000,10000,20,500,500,12,14,168,62,23,8,21,2.6956521739130435,0,1,229.26431628286133,10000_10000_020_12_14_0_1_008_021,1.75,124.69,116.77
10000,10000,20,500,500,12,14,168,62,23,8,21,2.6956521739130435,1,1,160.48502139800289,10000_10000_020_12_14_1_1_008_021,1.64,70.34,67.45
10000,10000,20,500,500,12,14,168,71,20,7,24,3.55,0,1,229.26431628286133,10000_10000_020_12_14_0_1_007_024,1.7,123.47,115.28
10000,10000,20,500,500,12,14,168,71,20,7,24,3.55,1,1,160.48502139800289,10000_10000_020_12_14_1_1_007_024,3.95,76.83,70.73
10000,10000,20,500,500,12,14,168,83,17,6,28,4.882352941176472,0,1,229.26431628286133,10000_10000_020_12_14_0_1_006_028,4.2,125.9,118.01
10000,10000,20,500,500,12,14,168,83,17,6,28,4.882352941176472,1,1,160.48502139800289,10000_10000_020_12_14_1_1_006_028,4.03,77.73,71.28
10000,10000,20,500,500,12,16,192,41,31,12,16,1.3225806451612905,0,1,200.60627674750359,10000_10000_020_12_16_0_1_012_016,3.43,108.93,107.52
10000,10000,20,500,500,12,16,192,41,31,12,16,1.3225806451612905,1,1,140.4243937232525,10000_10000_020_12_16_1_1_012_016,1.95,64.07,60.55
10000,10000,20,500,500,12,16,192,62,20,8,24,3.1,0,1,200.60627674750359,10000_10000_020_12_16_0_1_008_024,1.68,105.81,100.8
